START-OF-LOG: 2.0
 <ux0zx@mail.ru>
ARRL-SECTION: DX
CONTEST: CQ-WW-CW
CREATED-BY: AALog contest module v.1.0 beta
CALLSIGN: UX0ZX
CATEGORY: SINGLE-OP 20M LOW CW
CLAIMED-SCORE: 242700
OPERATORS: 
CLUB: 
NAME: NIK  PISMENYUK
SOAPBOX: NEXT  IN  2006 !  VERY  GOOD CONTEST !
QSO: 14000 CW 2005-11-26 1131 UX0ZX         599 16     DL1LH         599 14     0
QSO: 14000 CW 2005-11-26 1142 UX0ZX         599 16     8S0F          599 14     0
QSO: 14000 CW 2005-11-26 1142 UX0ZX         599 16     UA4WLI        599 16     0
QSO: 14000 CW 2005-11-26 1143 UX0ZX         599 16     SM6D          599 14     0
QSO: 14000 CW 2005-11-26 1144 UX0ZX         599 16     DJ5MW         599 14     0
QSO: 14000 CW 2005-11-26 1144 UX0ZX         599 16     OK1CC         599 15     0
QSO: 14000 CW 2005-11-26 1146 UX0ZX         599 16     G3RAU         599 14     0
QSO: 14000 CW 2005-11-26 1148 UX0ZX         599 16     DK0MN         599 14     0
QSO: 14000 CW 2005-11-26 1151 UX0ZX         599 16     K1DG          599 05     0
QSO: 14000 CW 2005-11-26 1151 UX0ZX         599 16     KC1XX         599 05     0
QSO: 14000 CW 2005-11-26 1152 UX0ZX         599 16     W1AA          599 05     0
QSO: 14000 CW 2005-11-26 1153 UX0ZX         599 16     RX9DJ         599 17     0
QSO: 14000 CW 2005-11-26 1159 UX0ZX         599 16     W2RE          599 05     0
QSO: 14000 CW 2005-11-26 1200 UX0ZX         599 16     K1LZ          599 05     0
QSO: 14000 CW 2005-11-26 1201 UX0ZX         599 16     W3LPL         599 05     0
QSO: 14000 CW 2005-11-26 1202 UX0ZX         599 16     W3BGN         599 05     0
QSO: 14000 CW 2005-11-26 1203 UX0ZX         599 16     WE2F          599 05     0
QSO: 14000 CW 2005-11-26 1203 UX0ZX         599 16     VO1AU         599 05     0
QSO: 14000 CW 2005-11-26 1204 UX0ZX         599 16     WE3C          599 05     0
QSO: 14000 CW 2005-11-26 1205 UX0ZX         599 16     N2RM          599 05     0
QSO: 14000 CW 2005-11-26 1206 UX0ZX         599 16     W2UP          599 05     0
QSO: 14000 CW 2005-11-26 1206 UX0ZX         599 16     LX/DK4ARL     599 14     0
QSO: 14000 CW 2005-11-26 1207 UX0ZX         599 16     ES5TV         599 15     0
QSO: 14000 CW 2005-11-26 1209 UX0ZX         599 16     K3OO          599 05     0
QSO: 14000 CW 2005-11-26 1210 UX0ZX         599 16     K3WW          599 05     0
QSO: 14000 CW 2005-11-26 1210 UX0ZX         599 16     TF4M          599 40     0
QSO: 14000 CW 2005-11-26 1211 UX0ZX         599 16     N2YO          599 05     0
QSO: 14000 CW 2005-11-26 1212 UX0ZX         599 16     K5ZD          599 05     0
QSO: 14000 CW 2005-11-26 1212 UX0ZX         599 16     EA4DRV        599 14     0
QSO: 14000 CW 2005-11-26 1213 UX0ZX         599 16     VE1OP         599 05     0
QSO: 14000 CW 2005-11-26 1214 UX0ZX         599 16     K1TTT         599 05     0
QSO: 14000 CW 2005-11-26 1215 UX0ZX         599 16     VR2JN         599 24     0
QSO: 14000 CW 2005-11-26 1217 UX0ZX         599 16     HB9IQB        599 14     0
QSO: 14000 CW 2005-11-26 1217 UX0ZX         599 16     OZ5E          599 14     0
QSO: 14000 CW 2005-11-26 1219 UX0ZX         599 16     AA1ON         599 05     0
QSO: 14000 CW 2005-11-26 1222 UX0ZX         599 16     N2LT          599 05     0
QSO: 14000 CW 2005-11-26 1223 UX0ZX         599 16     K2PS          599 05     0
QSO: 14000 CW 2005-11-26 1224 UX0ZX         599 16     K2QMF         599 05     0
QSO: 14000 CW 2005-11-26 1225 UX0ZX         599 16     K1PT          599 05     0
QSO: 14000 CW 2005-11-26 1227 UX0ZX         599 16     W1EQ          599 05     0
QSO: 14000 CW 2005-11-26 1228 UX0ZX         599 16     LA1YE         599 14     0
QSO: 14000 CW 2005-11-26 1229 UX0ZX         599 16     K3SV          599 05     0
QSO: 14000 CW 2005-11-26 1231 UX0ZX         599 16     KT1V          599 05     0
QSO: 14000 CW 2005-11-26 1235 UX0ZX         599 16     DL2F          599 14     0
QSO: 14000 CW 2005-11-26 1236 UX0ZX         599 16     W3PP          599 05     0
QSO: 14000 CW 2005-11-26 1239 UX0ZX         599 16     FP/K8DD       599 05     0
QSO: 14000 CW 2005-11-26 1240 UX0ZX         599 16     VE3RM         599 04     0
QSO: 14000 CW 2005-11-26 1243 UX0ZX         599 16     K1RX          599 05     0
QSO: 14000 CW 2005-11-26 1247 UX0ZX         599 16     KQ3F          599 05     0
QSO: 14000 CW 2005-11-26 1248 UX0ZX         599 16     WK2G          599 05     0
QSO: 14000 CW 2005-11-26 1254 UX0ZX         599 16     VP5W          599 08     0
QSO: 14000 CW 2005-11-26 1255 UX0ZX         599 16     DL2DX         599 14     0
QSO: 14000 CW 2005-11-26 1256 UX0ZX         599 16     N2NT          599 05     0
QSO: 14000 CW 2005-11-26 1258 UX0ZX         599 16     K3ZZ          599 05     0
QSO: 14000 CW 2005-11-26 1259 UX0ZX         599 16     VK7GN         599 30     0
QSO: 14000 CW 2005-11-26 1301 UX0ZX         599 16     OO5ZO         599 14     0
QSO: 14000 CW 2005-11-26 1305 UX0ZX         599 16     W1WEF         599 05     0
QSO: 14000 CW 2005-11-26 1306 UX0ZX         599 16     VE3EJ         599 04     0
QSO: 14000 CW 2005-11-26 1308 UX0ZX         599 16     K3ZM          599 05     0
QSO: 14000 CW 2005-11-26 1308 UX0ZX         599 16     N1UR          599 05     0
QSO: 14000 CW 2005-11-26 1309 UX0ZX         599 16     K1BX          599 05     0
QSO: 14000 CW 2005-11-26 1311 UX0ZX         599 16     N4GN          599 04     0
QSO: 14000 CW 2005-11-26 1312 UX0ZX         599 16     KF3B          599 05     0
QSO: 14000 CW 2005-11-26 1313 UX0ZX         599 16     WX3B          599 05     0
QSO: 14000 CW 2005-11-26 1315 UX0ZX         599 16     AA4V          599 05     0
QSO: 14000 CW 2005-11-26 1317 UX0ZX         599 16     N3AD          599 05     0
QSO: 14000 CW 2005-11-26 1318 UX0ZX         599 16     PJ2T          599 09     0
QSO: 14000 CW 2005-11-26 1319 UX0ZX         599 16     K2LE          599 05     0
QSO: 14000 CW 2005-11-26 1320 UX0ZX         599 16     SM6NM         599 14     0
QSO: 14000 CW 2005-11-26 1323 UX0ZX         599 16     N3RS          599 05     0
QSO: 14000 CW 2005-11-26 1325 UX0ZX         599 16     OL8R          599 15     0
QSO: 14000 CW 2005-11-26 1326 UX0ZX         599 16     K4ZW          599 05     0
QSO: 14000 CW 2005-11-26 1327 UX0ZX         599 16     WC1M          599 05     0
QSO: 14000 CW 2005-11-26 1330 UX0ZX         599 16     K1ZZ          599 05     0
QSO: 14000 CW 2005-11-26 1331 UX0ZX         599 16     IR4M          599 15     0
QSO: 14000 CW 2005-11-26 1331 UX0ZX         599 16     K0TV          599 05     0
QSO: 14000 CW 2005-11-26 1332 UX0ZX         599 16     VE3EY         599 04     0
QSO: 14000 CW 2005-11-26 1333 UX0ZX         599 16     W8AV          599 04     0
QSO: 14000 CW 2005-11-26 1334 UX0ZX         599 16     OE2S          599 15     0
QSO: 14000 CW 2005-11-26 1334 UX0ZX         599 16     OK1FDY        599 15     0
QSO: 14000 CW 2005-11-26 1336 UX0ZX         599 16     OH1F          599 15     0
QSO: 14000 CW 2005-11-26 1338 UX0ZX         599 16     OE2G          599 15     0
QSO: 14000 CW 2005-11-26 1339 UX0ZX         599 16     K2TW          599 05     0
QSO: 14000 CW 2005-11-26 1340 UX0ZX         599 16     IR2A          599 15     0
QSO: 14000 CW 2005-11-26 1340 UX0ZX         599 16     NN3Q          599 05     0
QSO: 14000 CW 2005-11-26 1341 UX0ZX         599 16     DA0I          599 14     0
QSO: 14000 CW 2005-11-26 1343 UX0ZX         599 16     9H3MR         599 15     0
QSO: 14000 CW 2005-11-26 1345 UX0ZX         599 16     IZ5EKV        599 15     0
QSO: 14000 CW 2005-11-26 1347 UX0ZX         599 16     K3LR          599 05     0
QSO: 14000 CW 2005-11-26 1349 UX0ZX         599 16     W2RU          599 05     0
QSO: 14000 CW 2005-11-26 1350 UX0ZX         599 16     W9SN          599 04     0
QSO: 14000 CW 2005-11-26 1351 UX0ZX         599 16     K3CR          599 05     0
QSO: 14000 CW 2005-11-26 1354 UX0ZX         599 16     W1KM          599 05     0
QSO: 14000 CW 2005-11-26 1356 UX0ZX         599 16     NQ4I          599 05     0
QSO: 14000 CW 2005-11-26 1359 UX0ZX         599 16     VC3O          599 04     0
QSO: 14000 CW 2005-11-26 1401 UX0ZX         599 16     W5MX          599 04     0
QSO: 14000 CW 2005-11-26 1405 UX0ZX         599 16     N2MM          599 05     0
QSO: 14000 CW 2005-11-26 1410 UX0ZX         599 16     N3AM          599 05     0
QSO: 14000 CW 2005-11-26 1412 UX0ZX         599 16     N1EU          599 05     0
QSO: 14000 CW 2005-11-26 1413 UX0ZX         599 16     DL2MDZ        599 14     0
QSO: 14000 CW 2005-11-26 1414 UX0ZX         599 16     IZ8DVD        599 15     0
QSO: 14000 CW 2005-11-26 1415 UX0ZX         599 16     K8AZ          599 04     0
QSO: 14000 CW 2005-11-26 1415 UX0ZX         599 16     HI9L          599 08     0
QSO: 14000 CW 2005-11-26 1417 UX0ZX         599 16     K1IR          599 05     0
QSO: 14000 CW 2005-11-26 1419 UX0ZX         599 16     IU2F          599 15     0
QSO: 14000 CW 2005-11-26 1422 UX0ZX         599 16     HP1/OA4WW     599 07     0
QSO: 14000 CW 2005-11-26 1424 UX0ZX         599 16     N0NI          599 04     0
QSO: 14000 CW 2005-11-26 1424 UX0ZX         599 16     DR5L          599 14     0
QSO: 14000 CW 2005-11-26 1429 UX0ZX         599 16     S50W          599 15     0
QSO: 14000 CW 2005-11-26 1429 UX0ZX         599 16     W2ID          599 05     0
QSO: 14000 CW 2005-11-26 1430 UX0ZX         599 16     K1TO          599 05     0
QSO: 14000 CW 2005-11-26 1431 UX0ZX         599 16     NE3F          599 05     0
QSO: 14000 CW 2005-11-26 1432 UX0ZX         599 16     II1H          599 15     0
QSO: 14000 CW 2005-11-26 1434 UX0ZX         599 16     M3C           599 14     0
QSO: 14000 CW 2005-11-26 1436 UX0ZX         599 16     N3AF          599 05     0
QSO: 14000 CW 2005-11-26 1436 UX0ZX         599 16     K4AMC         599 04     0
QSO: 14000 CW 2005-11-26 1441 UX0ZX         599 16     N4ZZ          599 04     0
QSO: 14000 CW 2005-11-26 1442 UX0ZX         599 16     K1GU          599 04     0
QSO: 14000 CW 2005-11-26 1443 UX0ZX         599 16     K4MA          599 05     0
QSO: 14000 CW 2005-11-26 1445 UX0ZX         599 16     4K7Z          599 21     0
QSO: 14000 CW 2005-11-26 1446 UX0ZX         599 16     PF0X          599 14     0
QSO: 14000 CW 2005-11-26 1447 UX0ZX         599 16     LX1NO         599 14     0
QSO: 14000 CW 2005-11-26 1454 UX0ZX         599 16     K1AR          599 05     0
QSO: 14000 CW 2005-11-26 1457 UX0ZX         599 16     K9NS          599 04     0
QSO: 14000 CW 2005-11-26 1459 UX0ZX         599 16     LX/DL5SE      599 14     0
QSO: 14000 CW 2005-11-26 1501 UX0ZX         599 16     G4BUE         599 14     0
QSO: 14000 CW 2005-11-26 1501 UX0ZX         599 16     W8ZA          599 05     0
QSO: 14000 CW 2005-11-26 1504 UX0ZX         599 16     LZ9W          599 20     0
QSO: 14000 CW 2005-11-26 1507 UX0ZX         599 16     KD2RD         599 05     0
QSO: 14000 CW 2005-11-26 1508 UX0ZX         599 16     F6KHM         599 14     0
QSO: 14000 CW 2005-11-26 1510 UX0ZX         599 16     TM2Y          599 14     0
QSO: 14000 CW 2005-11-26 1511 UX0ZX         599 16     K1RU          599 05     0
QSO: 14000 CW 2005-11-26 1512 UX0ZX         599 16     W9RE          599 04     0
QSO: 14000 CW 2005-11-26 1513 UX0ZX         599 16     KB1H          599 05     0
QSO: 14000 CW 2005-11-26 1526 UX0ZX         599 16     K0CAT         599 04     0
QSO: 14000 CW 2005-11-26 1528 UX0ZX         599 16     N0AT          599 04     0
QSO: 14000 CW 2005-11-26 1528 UX0ZX         599 16     G0RTN         599 14     0
QSO: 14000 CW 2005-11-26 1533 UX0ZX         599 16     VK9AA         599 29     0
QSO: 14000 CW 2005-11-26 1539 UX0ZX         599 16     9G5GJ         599 35     0
QSO: 14000 CW 2005-11-26 1540 UX0ZX         599 16     W0AIH         599 04     0
QSO: 14000 CW 2005-11-26 1555 UX0ZX         599 16     RU4SM         599 16     0
QSO: 14000 CW 2005-11-26 1605 UX0ZX         599 16     ED2JJ         599 14     0
QSO: 14000 CW 2005-11-26 1608 UX0ZX         599 16     KQ2M          599 05     0
QSO: 14000 CW 2005-11-26 1618 UX0ZX         599 16     K5GO          599 04     0
QSO: 14000 CW 2005-11-26 1621 UX0ZX         599 16     HG6N          599 15     0
QSO: 14000 CW 2005-11-26 1635 UX0ZX         599 16     OM8A          599 15     0
QSO: 14000 CW 2005-11-26 1644 UX0ZX         599 16     S53QD         599 15     0
QSO: 14000 CW 2005-11-26 1646 UX0ZX         599 16     RN6FA         599 16     0
QSO: 14000 CW 2005-11-26 1651 UX0ZX         599 16     K2NV          599 05     0
QSO: 14000 CW 2005-11-26 1653 UX0ZX         599 16     W1ECT         599 05     0
QSO: 14000 CW 2005-11-26 1654 UX0ZX         599 16     S52ZW         599 15     0
QSO: 14000 CW 2005-11-26 1658 UX0ZX         599 16     RZ4CWW        599 16     0
QSO: 14000 CW 2005-11-26 1659 UX0ZX         599 16     YZ1AU         599 15     0
QSO: 14000 CW 2005-11-26 1700 UX0ZX         599 16     LY7A          599 15     0
QSO: 14000 CW 2005-11-26 1701 UX0ZX         599 16     W6XR          599 05     0
QSO: 14000 CW 2005-11-26 1703 UX0ZX         599 16     W2FU          599 05     0
QSO: 14000 CW 2005-11-26 1718 UX0ZX         599 16     RZ6AZZ        599 16     0
QSO: 14000 CW 2005-11-26 1720 UX0ZX         599 16     RU6AT         599 16     0
QSO: 14000 CW 2005-11-26 1721 UX0ZX         599 16     OM7M          599 15     0
QSO: 14000 CW 2005-11-26 1730 UX0ZX         599 16     K2TE          599 05     0
QSO: 14000 CW 2005-11-26 1737 UX0ZX         599 16     W1MU          599 05     0
QSO: 14000 CW 2005-11-26 1752 UX0ZX         599 16     OL6BA         599 15     0
QSO: 14000 CW 2005-11-26 1753 UX0ZX         599 16     LZ2PB         599 20     0
QSO: 14000 CW 2005-11-26 1756 UX0ZX         599 16     OL9Z          599 15     0
QSO: 14000 CW 2005-11-26 1807 UX0ZX         599 16     LZ2TU         599 20     0
QSO: 14000 CW 2005-11-26 1809 UX0ZX         599 16     W7WA          599 03     0
QSO: 14000 CW 2005-11-26 1823 UX0ZX         599 16     RA3UT         599 16     0
QSO: 14000 CW 2005-11-26 1824 UX0ZX         599 16     UA4AGO        599 16     0
QSO: 14000 CW 2005-11-26 1829 UX0ZX         599 16     9A7A          599 15     0
QSO: 14000 CW 2005-11-26 1830 UX0ZX         599 16     K7OX          599 03     0
QSO: 14000 CW 2005-11-26 1834 UX0ZX         599 16     K5MA          599 05     0
QSO: 14000 CW 2005-11-26 1835 UX0ZX         599 16     OH6NIO        599 15     0
QSO: 14000 CW 2005-11-26 1842 UX0ZX         599 16     VE7GL         599 03     0
QSO: 14000 CW 2005-11-26 1847 UX0ZX         599 16     N4WW          599 05     0
QSO: 14000 CW 2005-11-26 1849 UX0ZX         599 16     K7GK          599 03     0
QSO: 14000 CW 2005-11-26 1854 UX0ZX         599 16     FG5BG         599 08     0
QSO: 14000 CW 2005-11-26 1855 UX0ZX         599 16     OM3KWZ        599 15     0
QSO: 14000 CW 2005-11-26 1856 UX0ZX         599 16     VE7SV         599 03     0
QSO: 14000 CW 2005-11-26 1859 UX0ZX         599 16     K9OM          599 05     0
QSO: 14000 CW 2005-11-26 1904 UX0ZX         599 16     S50A          599 15     0
QSO: 14000 CW 2005-11-26 1905 UX0ZX         599 16     IZ3DBA        599 15     0
QSO: 14000 CW 2005-11-26 1907 UX0ZX         599 16     KP4KE         599 08     0
QSO: 14000 CW 2005-11-26 1913 UX0ZX         599 16     RA6ATN        599 16     0
QSO: 14000 CW 2005-11-26 1921 UX0ZX         599 16     LY3VM         599 15     0
QSO: 14000 CW 2005-11-26 1923 UX0ZX         599 16     R1ANF         599 13     0
QSO: 14000 CW 2005-11-26 1924 UX0ZX         599 16     YL5W          599 15     0
QSO: 14000 CW 2005-11-26 1926 UX0ZX         599 16     RW3GU/3       599 16     0
QSO: 14000 CW 2005-11-26 1942 UX0ZX         599 16     HG7H          599 15     0
QSO: 14000 CW 2005-11-26 1956 UX0ZX         599 16     SN1I          599 15     0
QSO: 14000 CW 2005-11-26 1958 UX0ZX         599 16     P40W          599 09     0
QSO: 14000 CW 2005-11-26 2000 UX0ZX         599 16     HA6PX         599 15     0
QSO: 14000 CW 2005-11-26 2005 UX0ZX         599 16     OK2BRA        599 15     0
QSO: 14000 CW 2005-11-26 2006 UX0ZX         599 16     9A3TU         599 15     0
QSO: 14000 CW 2005-11-26 2006 UX0ZX         599 16     SP3J          599 15     0
QSO: 14000 CW 2005-11-26 2007 UX0ZX         599 16     DL5YM         599 14     0
QSO: 14000 CW 2005-11-26 2008 UX0ZX         599 16     OK1TFH        599 15     0
QSO: 14000 CW 2005-11-26 2009 UX0ZX         599 16     S56A          599 15     0
QSO: 14000 CW 2005-11-26 2013 UX0ZX         599 16     YP3A          599 20     0
QSO: 14000 CW 2005-11-26 2014 UX0ZX         599 16     HA9RT         599 15     0
QSO: 14000 CW 2005-11-26 2019 UX0ZX         599 16     P40L          599 09     0
QSO: 14000 CW 2005-11-26 2049 UX0ZX         599 16     LZ4JO         599 20     0
QSO: 14000 CW 2005-11-26 2102 UX0ZX         599 16     YZ1GW         599 15     0
QSO: 14000 CW 2005-11-27 0343 UX0ZX         599 16     VU2NXM        599 22     0
QSO: 14000 CW 2005-11-27 0415 UX0ZX         599 16     RZ9UWZ        599 18     0
QSO: 14000 CW 2005-11-27 0420 UX0ZX         599 16     VR2BG         599 24     0
QSO: 14000 CW 2005-11-27 0426 UX0ZX         599 16     JA3YBK        599 25     0
QSO: 14000 CW 2005-11-27 0428 UX0ZX         599 16     4S7EXG        599 22     0
QSO: 14000 CW 2005-11-27 0430 UX0ZX         599 16     UA0SDX        599 18     0
QSO: 14000 CW 2005-11-27 0432 UX0ZX         599 16     UN7JX         599 17     0
QSO: 14000 CW 2005-11-27 0435 UX0ZX         599 16     RW9OS         599 18     0
QSO: 14000 CW 2005-11-27 0439 UX0ZX         599 16     VU2PAI        599 22     0
QSO: 14000 CW 2005-11-27 0453 UX0ZX         599 16     UA0FAI        599 19     0
QSO: 14000 CW 2005-11-27 0455 UX0ZX         599 16     RV9UF         599 18     0
QSO: 14000 CW 2005-11-27 0456 UX0ZX         599 16     RK9DR         599 17     0
QSO: 14000 CW 2005-11-27 0459 UX0ZX         599 16     JE1CKA        599 25     0
QSO: 14000 CW 2005-11-27 0502 UX0ZX         599 16     4K9W          599 21     0
QSO: 14000 CW 2005-11-27 0503 UX0ZX         599 16     RX9AF         599 17     0
QSO: 14000 CW 2005-11-27 0504 UX0ZX         599 16     UA9CCL        599 17     0
QSO: 14000 CW 2005-11-27 0504 UX0ZX         599 16     UA9JLL        599 17     0
QSO: 14000 CW 2005-11-27 0510 UX0ZX         599 16     JM1LPN        599 25     0
QSO: 14000 CW 2005-11-27 0511 UX0ZX         599 16     YT1NT         599 15     0
QSO: 14000 CW 2005-11-27 0513 UX0ZX         599 16     UA3ABJ        599 16     0
QSO: 14000 CW 2005-11-27 0514 UX0ZX         599 16     HL2FDW        599 25     0
QSO: 14000 CW 2005-11-27 0523 UX0ZX         599 16     RW9IM         599 18     0
QSO: 14000 CW 2005-11-27 0524 UX0ZX         599 16     RA9AC         599 17     0
QSO: 14000 CW 2005-11-27 0526 UX0ZX         599 16     JA7MYQ        599 25     0
QSO: 14000 CW 2005-11-27 0527 UX0ZX         599 16     7M4CDX        599 25     0
QSO: 14000 CW 2005-11-27 0555 UX0ZX         599 16     RA9DZ         599 17     0
QSO: 14000 CW 2005-11-27 0557 UX0ZX         599 16     7Z1SJ         599 21     0
QSO: 14000 CW 2005-11-27 0558 UX0ZX         599 16     UA9AFS        599 17     0
QSO: 14000 CW 2005-11-27 0559 UX0ZX         599 16     RA9AE         599 17     0
QSO: 14000 CW 2005-11-27 0604 UX0ZX         599 16     UA9FM         599 17     0
QSO: 14000 CW 2005-11-27 0609 UX0ZX         599 16     B1Z           599 24     0
QSO: 14000 CW 2005-11-27 0610 UX0ZX         599 16     DL4YR         599 14     0
QSO: 14000 CW 2005-11-27 0611 UX0ZX         599 16     RA0QC         599 19     0
QSO: 14000 CW 2005-11-27 0615 UX0ZX         599 16     RU3UW         599 16     0
QSO: 14000 CW 2005-11-27 0619 UX0ZX         599 16     OE5ORM        599 15     0
QSO: 14000 CW 2005-11-27 0624 UX0ZX         599 16     RV9WZ         599 17     0
QSO: 14000 CW 2005-11-27 0628 UX0ZX         599 16     JN4MMO        599 25     0
QSO: 14000 CW 2005-11-27 0630 UX0ZX         599 16     UT2FA         599 16     0
QSO: 14000 CW 2005-11-27 0631 UX0ZX         599 16     JH7XGN        599 25     0
QSO: 14000 CW 2005-11-27 0635 UX0ZX         599 16     SV1ENG        599 20     0
QSO: 14000 CW 2005-11-27 0639 UX0ZX         599 16     JH4UYB        599 25     0
QSO: 14000 CW 2005-11-27 0645 UX0ZX         599 16     RU4WW         599 16     0
QSO: 14000 CW 2005-11-27 0647 UX0ZX         599 16     RK9CR         599 17     0
QSO: 14000 CW 2005-11-27 0650 UX0ZX         599 16     EU1PA         599 16     0
QSO: 14000 CW 2005-11-27 0653 UX0ZX         599 16     UA9AOL        599 17     0
QSO: 14000 CW 2005-11-27 0656 UX0ZX         599 16     OK1AY         599 15     0
QSO: 14000 CW 2005-11-27 0656 UX0ZX         599 16     S52P          599 15     0
QSO: 14000 CW 2005-11-27 0656 UX0ZX         599 16     ST2T          599 34     0
QSO: 14000 CW 2005-11-27 0657 UX0ZX         599 16     RK9CWW        599 17     0
QSO: 14000 CW 2005-11-27 0658 UX0ZX         599 16     RA9UN         599 17     0
QSO: 14000 CW 2005-11-27 0659 UX0ZX         599 16     OK1BLU        599 15     0
QSO: 14000 CW 2005-11-27 0700 UX0ZX         599 16     S57AY         599 15     0
QSO: 14000 CW 2005-11-27 0703 UX0ZX         599 16     IK2VFW        599 15     0
QSO: 14000 CW 2005-11-27 0704 UX0ZX         599 16     S57LO         599 15     0
QSO: 14000 CW 2005-11-27 0704 UX0ZX         599 16     DL4AAE        599 14     0
QSO: 14000 CW 2005-11-27 0706 UX0ZX         599 16     IN3OWY/2      599 15     0
QSO: 14000 CW 2005-11-27 0713 UX0ZX         599 16     RW1ZA         599 16     0
QSO: 14000 CW 2005-11-27 0716 UX0ZX         599 16     F8EEQ         599 14     0
QSO: 14000 CW 2005-11-27 0717 UX0ZX         599 16     RZ9AY         599 17     0
QSO: 14000 CW 2005-11-27 0718 UX0ZX         599 16     OZ8AE         599 14     0
QSO: 14000 CW 2005-11-27 0720 UX0ZX         599 16     RK9AWN        599 17     0
QSO: 14000 CW 2005-11-27 0722 UX0ZX         599 16     ES5RY         599 15     0
QSO: 14000 CW 2005-11-27 0726 UX0ZX         599 16     SM6NET        599 14     0
QSO: 14000 CW 2005-11-27 0728 UX0ZX         599 16     DA3A          599 14     0
QSO: 14000 CW 2005-11-27 0748 UX0ZX         599 16     JA1VND        599 25     0
QSO: 14000 CW 2005-11-27 0754 UX0ZX         599 16     RW3AI         599 16     0
QSO: 14000 CW 2005-11-27 0756 UX0ZX         599 16     DK1QH         599 14     0
QSO: 14000 CW 2005-11-27 0759 UX0ZX         599 16     Z37M          599 15     0
QSO: 14000 CW 2005-11-27 0802 UX0ZX         599 16     OL3Z          599 15     0
QSO: 14000 CW 2005-11-27 0805 UX0ZX         599 16     JF1SQC        599 25     0
QSO: 14000 CW 2005-11-27 0807 UX0ZX         599 16     RV6YZ/6       599 16     0
QSO: 14000 CW 2005-11-27 0808 UX0ZX         599 16     OZ0XX         599 14     0
QSO: 14000 CW 2005-11-27 0810 UX0ZX         599 16     RW9UW         599 18     0
QSO: 14000 CW 2005-11-27 0816 UX0ZX         599 16     DK7EO         599 14     0
QSO: 14000 CW 2005-11-27 0817 UX0ZX         599 16     IV3TQE        599 15     0
QSO: 14000 CW 2005-11-27 0819 UX0ZX         599 16     SP2JLR        599 15     0
QSO: 14000 CW 2005-11-27 0819 UX0ZX         599 16     OK7XC         599 15     0
QSO: 14000 CW 2005-11-27 0819 UX0ZX         599 16     G0KDZ         599 14     0
QSO: 14000 CW 2005-11-27 0821 UX0ZX         599 16     RU3FT         599 16     0
QSO: 14000 CW 2005-11-27 0821 UX0ZX         599 16     OH8VQ         599 15     0
QSO: 14000 CW 2005-11-27 0822 UX0ZX         599 16     DL1FMG        599 14     0
QSO: 14000 CW 2005-11-27 0822 UX0ZX         599 16     EA2AZ         599 14     0
QSO: 14000 CW 2005-11-27 0823 UX0ZX         599 16     DL1RWS        599 14     0
QSO: 14000 CW 2005-11-27 0823 UX0ZX         599 16     IS0MYN        599 15     0
QSO: 14000 CW 2005-11-27 0824 UX0ZX         599 16     OK1IBP        599 15     0
QSO: 14000 CW 2005-11-27 0824 UX0ZX         599 16     IK0NSF        599 15     0
QSO: 14000 CW 2005-11-27 0825 UX0ZX         599 16     OK8HA         599 15     0
QSO: 14000 CW 2005-11-27 0825 UX0ZX         599 16     DF2CH         599 14     0
QSO: 14000 CW 2005-11-27 0826 UX0ZX         599 16     IK0TUG        599 15     0
QSO: 14000 CW 2005-11-27 0826 UX0ZX         599 16     SM0GNS        599 14     0
QSO: 14000 CW 2005-11-27 0827 UX0ZX         599 16     OZ0KR         599 14     0
QSO: 14000 CW 2005-11-27 0828 UX0ZX         599 16     EA7RM         599 14     0
QSO: 14000 CW 2005-11-27 0828 UX0ZX         599 16     SP6LV         599 15     0
QSO: 14000 CW 2005-11-27 0829 UX0ZX         599 16     OK1DOL        599 15     0
QSO: 14000 CW 2005-11-27 0830 UX0ZX         599 16     S54X          599 15     0
QSO: 14000 CW 2005-11-27 0830 UX0ZX         599 16     RA3TT         599 16     0
QSO: 14000 CW 2005-11-27 0831 UX0ZX         599 16     PA0JED        599 14     0
QSO: 14000 CW 2005-11-27 0831 UX0ZX         599 16     SP6T          599 15     0
QSO: 14000 CW 2005-11-27 0832 UX0ZX         599 16     DL2JAW        599 14     0
QSO: 14000 CW 2005-11-27 0832 UX0ZX         599 16     I5QNJ         599 15     0
QSO: 14000 CW 2005-11-27 0833 UX0ZX         599 16     OK1KW         599 15     0
QSO: 14000 CW 2005-11-27 0834 UX0ZX         599 16     SP3LWP        599 15     0
QSO: 14000 CW 2005-11-27 0834 UX0ZX         599 16     OK1DKR        599 15     0
QSO: 14000 CW 2005-11-27 0836 UX0ZX         599 16     DL4FN         599 14     0
QSO: 14000 CW 2005-11-27 0837 UX0ZX         599 16     IZ2FME        599 15     0
QSO: 14000 CW 2005-11-27 0838 UX0ZX         599 16     SM3C          599 14     0
QSO: 14000 CW 2005-11-27 0838 UX0ZX         599 16     OH2LU         599 15     0
QSO: 14000 CW 2005-11-27 0839 UX0ZX         599 16     I2RVW         599 15     0
QSO: 14000 CW 2005-11-27 0840 UX0ZX         599 16     CT1ANO        599 14     0
QSO: 14000 CW 2005-11-27 0841 UX0ZX         599 16     DL5AWM        599 14     0
QSO: 14000 CW 2005-11-27 0842 UX0ZX         599 16     RN9RZ         599 17     0
