START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE CW
CALLSIGN: OH2KW
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OH2KW
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE CW WAE/CW/2022.
QSO:  7032 CW 2022-08-13 0204 OH2KW         599 NA8V          599 122
QSO: 14020 CW 2022-08-14 2020 OH2KW         599 0389 KX2S          599 0133
QSO: 14020 CW 2022-08-14 2020 OH2KW         599 0388 WO4O          599 0613
QSO: 14000 CW 2022-08-14 2021 OH2KW         599 390 WA5LFD        599 064
QSO: 14020 CW 2022-08-14 2021 OH2KW         599 0391 N1RM          599 0206
QSO: 14020 CW 2022-08-14 2025 OH2KW         599 0393 K8PK          599 0063
QSO: 14020 CW 2022-08-14 2030 OH2KW         599 0397 K4QPL         599 0182
QSO: 14020 CW 2022-08-14 2030 OH2KW         599 0398 W4PM          599 0285
QSO: 14020 CW 2022-08-14 2032 OH2KW         599 0399 KD2KW         599 0046
QSO: 14009 CW 2022-08-14 2037 OH2KW         599 0400 YV4ABR        599 0191
QSO: 14020 CW 2022-08-14 2037 OH2KW         599 0401 NN2NN         599 0084
QSO: 14020 CW 2022-08-14 2039 OH2KW         599 403 VA3TNM        599 115
QSO: 14020 CW 2022-08-14 2040 OH2KW         599 0404 K8ZT          599 0022
END-OF-LOG:
